timepoint,date,river,treatment,side,transect,point,Line_transect,Frog.abundance,Frog.richness,Duttaphrynus melanostictus,Fejervarya cancrivora,Fejervarya limnocharis,Hylarana parvaccola,Hylarana erythraea,Hylarana glandulosa,Hylarana miopus,Hylarana nicobariensis,Kaloula baleata,Kaloula pulchra,Leptobrachium nigrops,Microhyla sp.,Polypedates leucomystax,NA
post1,03/03/2021,KNDE,F,East,350m,OP.edge,F-E-350-OPE,5,4,0,0,2,0,0,0,0,0,0,1,0,1,1,0
post1,03/03/2021,KNDE,F,East,350m,river,F-E-350-RV,7,5,0,1,2,0,0,0,0,1,0,1,0,0,2,0
post1,04/03/2021,KNDE,F,West,250m,buffer.core,F-W-250-BC,4,3,0,0,1,0,0,0,1,0,0,0,0,0,2,0
post1,04/03/2021,KNDE,F,West,250m,OP.core,F-W-250-OPC,6,4,1,1,0,0,0,0,0,0,0,1,0,0,3,0
post1,04/03/2021,KNDE,F,West,250m,OP.edge,F-W-250-OPE,4,2,0,0,0,0,0,0,0,0,0,0,0,1,3,0
post1,04/03/2021,KNDE,F,West,250m,river,F-W-250-RV,7,4,0,1,3,0,0,0,0,1,0,0,0,0,2,0
post2,15/06/2023,KNDE,F,West,50m,buffer.core,F-W-50-BC,8,4,0,0,0,2,0,1,0,1,0,0,0,0,4,0
post2,15/06/2023,KNDE,F,West,50m,OP.core,F-W-50-OPC,6,2,0,0,0,0,0,0,0,1,0,0,0,0,5,0
post2,15/06/2023,KNDE,F,West,50m,OP.edge,F-W-50-OPE,3,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0
post2,15/06/2023,KNDE,F,West,50m,river,F-W-50-RV,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
post2,31/07/2023,KNDE,F,West,250m,buffer.core,F-W-250-BC,6,2,0,0,0,5,0,1,0,0,0,0,0,0,0,0
post2,31/07/2023,KNDE,F,West,250m,OP.core,F-W-250-OPC,4,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0
post2,31/07/2023,KNDE,F,West,250m,OP.edge,F-W-250-OPE,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
post2,31/07/2023,KNDE,F,West,250m,river,F-W-250-RV,7,2,0,0,0,6,1,0,0,0,0,0,0,0,0,0
post2,04/08/2023,KNDE,F,East,350m,buffer.core,F-E-350-BC,3,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0
post2,04/08/2023,KNDE,F,East,350m,OP.core,F-E-350-OPC,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
post2,04/08/2023,KNDE,F,East,350m,OP.edge,F-E-350-OPE,13,4,0,0,0,7,0,2,0,1,0,0,0,0,3,0
post2,04/08/2023,KNDE,F,East,350m,river,F-E-350-RV,10,4,0,0,0,3,0,4,0,1,0,0,0,0,2,0
post2,10/08/2023,KNDE,F,East,150m,buffer.core,F-E-150-BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post2,10/08/2023,KNDE,F,East,150m,OP.core,F-E-150-OPC,4,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0
post2,10/08/2023,KNDE,F,East,150m,OP.edge,F-E-150-OPE,3,3,0,0,1,0,0,0,0,0,0,0,0,1,1,0
post2,10/08/2023,KNDE,F,East,150m,river,F-E-150-RV,15,5,0,0,0,7,2,2,0,2,0,0,0,0,2,0
post3,27/09/2024,KNDE,F,East,350m,buffer.core,F-E-350-BC,5,3,0,0,0,1,0,3,0,0,0,0,0,0,1,0
post3,27/09/2024,KNDE,F,East,350m,OP.core,F-E-350-OPC,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0
post3,27/09/2024,KNDE,F,East,350m,OP.edge,F-E-350-OPE,18,4,0,0,7,1,0,1,0,0,0,0,0,0,9,0
post3,27/09/2024,KNDE,F,East,350m,river,F-E-350-RV,5,3,0,0,0,1,0,3,0,0,0,0,0,1,0,0
post3,08/10/2024,KNDE,F,West,250m,buffer.core,F-W-250-BC,7,4,0,1,1,0,0,2,0,0,0,0,0,0,3,0
post3,08/10/2024,KNDE,F,West,250m,OP.core,F-W-250-OPC,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
post3,08/10/2024,KNDE,F,West,250m,OP.edge,F-W-250-OPE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
post3,08/10/2024,KNDE,F,West,250m,river,F-W-250-RV,4,3,0,0,0,1,0,1,0,0,0,0,0,0,2,0
post3,14/10/2024,KNDE,F,East,150m,buffer.core,F-E-150-BC,8,4,0,0,1,0,0,3,0,1,0,0,0,0,3,0
post3,14/10/2024,KNDE,F,East,150m,OP.core,F-E-150-OPC,7,4,0,0,0,1,0,1,1,0,0,0,0,0,4,0
post3,14/10/2024,KNDE,F,East,150m,OP.edge,F-E-150-OPE,5,3,0,0,0,0,0,1,0,1,0,0,0,0,3,0
post3,14/10/2024,KNDE,F,East,150m,river,F-E-150-RV,10,3,0,0,0,5,0,4,0,0,0,0,0,0,1,0
post3,18/10/2024,KNDE,F,West,50m,buffer.core,F-W-50-BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post3,18/10/2024,KNDE,F,West,50m,OP.core,F-W-50-OPC,3,3,0,0,1,1,0,0,0,0,0,0,0,0,1,0
post3,18/10/2024,KNDE,F,West,50m,OP.edge,F-W-50-OPE,2,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0
post3,18/10/2024,KNDE,F,West,50m,river,F-W-50-RV,3,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0
baseline,11/02/2019,KNDE,G,East,350m,buffer.core,G-E-350-BC,7,3,0,0,0,4,0,0,0,1,0,0,0,0,2,0
baseline,11/02/2019,KNDE,G,East,350m,OP.core,G-E-350-OPC,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
baseline,11/02/2019,KNDE,G,East,350m,OP.edge,G-E-350-OPE,7,4,0,0,0,1,0,1,0,2,0,0,0,0,3,0
baseline,11/02/2019,KNDE,G,East,350m,river,G-E-350-RV,14,5,0,0,0,2,3,1,0,1,0,0,0,0,7,0
baseline,14/02/2019,KNDE,G,West,50m,buffer.core,G-W-50-BC,6,3,0,0,0,1,0,0,0,1,0,0,0,0,4,0
baseline,14/02/2019,KNDE,G,West,50m,OP.core,G-W-50-OPC,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
baseline,14/02/2019,KNDE,G,West,50m,OP.edge,G-W-50-OPE,7,3,0,0,0,0,0,5,0,1,0,0,0,0,1,0
baseline,14/02/2019,KNDE,G,West,50m,river,G-W-50-RV,24,5,0,1,0,9,1,12,0,0,0,0,0,0,1,0
baseline,20/02/2019,KNDE,G,East,150m,buffer.core,G-E-150-BC,7,2,0,0,0,3,0,0,0,0,0,0,0,0,4,0
baseline,20/02/2019,KNDE,G,East,150m,OP.core,G-E-150-OPC,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
baseline,20/02/2019,KNDE,G,East,150m,OP.edge,G-E-150-OPE,5,2,0,0,0,0,0,4,0,1,0,0,0,0,0,0
baseline,20/02/2019,KNDE,G,East,150m,river,G-E-150-RV,5,2,0,0,0,4,0,0,0,0,0,0,0,0,1,0
baseline,22/02/2019,KNDE,G,West,250m,buffer.core,G-W-250-BC,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
baseline,22/02/2019,KNDE,G,West,250m,OP.core,G-W-250-OPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline,22/02/2019,KNDE,G,West,250m,OP.edge,G-W-250-OPE,5,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0
baseline,22/02/2019,KNDE,G,West,250m,river,G-W-250-RV,4,2,0,0,0,3,0,0,0,1,0,0,0,0,0,0
post1,17/02/2021,KNDE,G,West,50m,buffer.core,G-W-50-BC,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0
post1,17/02/2021,KNDE,G,West,50m,OP.core,G-W-50-OPC,6,4,0,0,1,0,0,3,0,0,0,0,0,1,1,0
post1,17/02/2021,KNDE,G,West,50m,OP.edge,G-W-50-OPE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
post1,17/02/2021,KNDE,G,West,50m,river,G-W-50-RV,8,3,0,0,0,3,0,2,0,0,0,0,0,0,3,0
post1,25/02/2021,KNDE,G,East,350m,buffer.core,G-E-350-BC,3,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0
post1,25/02/2021,KNDE,G,East,350m,OP.core,G-E-350-OPC,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
post1,25/02/2021,KNDE,G,East,350m,OP.edge,G-E-350-OPE,23,5,0,0,14,0,0,1,2,0,0,0,0,1,5,0
post1,25/02/2021,KNDE,G,East,350m,river,G-E-350-RV,6,4,0,0,0,1,0,1,0,1,0,0,0,0,3,0
post1,26/02/2021,KNDE,G,West,250m,buffer.core,G-W-250-BC,5,3,0,0,1,0,0,0,0,1,0,0,0,0,3,0
post1,26/02/2021,KNDE,G,West,250m,OP.core,G-W-250-OPC,4,3,0,0,1,0,0,0,0,0,0,1,0,0,2,0
post1,26/02/2021,KNDE,G,West,250m,OP.edge,G-W-250-OPE,8,3,0,1,0,0,0,0,0,0,0,0,0,4,3,0
post1,26/02/2021,KNDE,G,West,250m,river,G-W-250-RV,6,4,0,1,0,0,1,0,1,0,0,0,0,0,3,0
post1,04/03/2021,KNDE,G,East,150m,buffer.core,G-E-150-BC,5,2,0,0,1,0,0,0,0,0,0,0,0,0,4,0
post1,04/03/2021,KNDE,G,East,150m,OP.core,G-E-150-OPC,4,3,0,0,1,0,0,0,0,0,0,0,0,1,2,0
post1,04/03/2021,KNDE,G,East,150m,OP.edge,G-E-150-OPE,3,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0
post1,04/03/2021,KNDE,G,East,150m,river,G-E-150-RV,9,6,0,1,1,0,0,1,0,2,0,0,0,1,3,0
post2,16/06/2023,KNDE,G,East,350m,buffer.core,G-E-350-BC,4,3,0,1,0,0,0,0,0,0,0,0,0,1,2,0
post2,16/06/2023,KNDE,G,East,350m,OP.core,G-E-350-OPC,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0
post2,16/06/2023,KNDE,G,East,350m,OP.edge,G-E-350-OPE,4,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0
post2,16/06/2023,KNDE,G,East,350m,river,G-E-350-RV,13,5,0,0,1,0,0,1,1,4,0,0,0,0,6,0
post2,05/07/2023,KNDE,G,West,50m,buffer.core,G-W-50-BC,7,2,0,0,0,0,0,0,1,0,0,0,0,0,6,0
post2,05/07/2023,KNDE,G,West,50m,OP.core,G-W-50-OPC,6,2,0,0,0,0,0,3,0,0,0,0,0,0,3,0
post2,05/07/2023,KNDE,G,West,50m,OP.edge,G-W-50-OPE,13,4,0,0,0,5,0,4,0,1,0,0,0,0,3,0
post2,05/07/2023,KNDE,G,West,50m,river,G-W-50-RV,19,3,0,0,0,6,0,0,0,1,0,0,0,0,12,0
post2,03/08/2023,KNDE,G,East,150m,buffer.core,G-E-150-BC,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
post2,03/08/2023,KNDE,G,East,150m,OP.core,G-E-150-OPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post2,03/08/2023,KNDE,G,East,150m,OP.edge,G-E-150-OPE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
post2,03/08/2023,KNDE,G,East,150m,river,G-E-150-RV,7,4,0,0,0,0,1,1,0,1,0,0,0,0,4,0
post2,09/08/2023,KNDE,G,West,250m,buffer.core,G-W-250-BC,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
post2,09/08/2023,KNDE,G,West,250m,OP.core,G-W-250-OPC,2,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0
post2,09/08/2023,KNDE,G,West,250m,OP.edge,G-W-250-OPE,5,3,0,0,0,0,0,1,0,3,0,0,0,0,1,0
post2,09/08/2023,KNDE,G,West,250m,river,G-W-250-RV,9,3,0,0,0,2,0,4,0,0,0,0,0,0,3,0
post3,30/09/2024,KNDE,G,East,350m,buffer.core,G-E-350-BC,6,4,0,0,0,2,0,0,0,2,0,0,0,1,1,0
post3,30/09/2024,KNDE,G,East,350m,OP.core,G-E-350-OPC,8,3,0,0,4,0,0,0,0,0,0,0,0,1,3,0
post3,30/09/2024,KNDE,G,East,350m,OP.edge,G-E-350-OPE,3,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0
post3,30/09/2024,KNDE,G,East,350m,river,G-E-350-RV,5,4,0,0,0,1,0,1,0,2,0,0,0,0,1,0
post3,08/10/2024,KNDE,G,West,50m,buffer.core,G-W-50-BC,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
post3,08/10/2024,KNDE,G,West,50m,OP.core,G-W-50-OPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post3,08/10/2024,KNDE,G,West,50m,OP.edge,G-W-50-OPE,5,3,0,0,0,2,0,2,0,1,0,0,0,0,0,0
post3,08/10/2024,KNDE,G,West,50m,river,G-W-50-RV,27,2,0,0,0,26,1,0,0,0,0,0,0,0,0,0
post3,16/10/2024,KNDE,G,West,250m,buffer.core,G-W-250-BC,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
post3,16/10/2024,KNDE,G,West,250m,OP.core,G-W-250-OPC,10,3,0,0,1,0,0,1,0,0,0,0,0,0,8,0
post3,16/10/2024,KNDE,G,West,250m,OP.edge,G-W-250-OPE,4,2,0,0,0,0,0,1,0,0,0,0,0,0,3,0
post3,16/10/2024,KNDE,G,West,250m,river,G-W-250-RV,19,2,0,0,0,14,0,0,0,0,0,0,0,0,5,0
post3,21/10/2024,KNDE,G,East,150m,buffer.core,G-E-150-BC,12,6,0,0,2,2,0,2,0,2,0,0,0,1,3,0
post3,21/10/2024,KNDE,G,East,150m,OP.core,G-E-150-OPC,4,3,0,0,0,0,0,1,2,0,0,0,0,0,1,0
post3,21/10/2024,KNDE,G,East,150m,OP.edge,G-E-150-OPE,21,5,0,0,3,9,0,1,0,0,0,0,0,3,5,0
post3,21/10/2024,KNDE,G,East,150m,river,G-E-150-RV,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0
baseline,11/02/2019,KNDE,H,East,150m,buffer.core,H-E-150-BC,10,2,0,0,0,0,0,7,0,3,0,0,0,0,0,0
baseline,11/02/2019,KNDE,H,East,150m,OP.core,H-E-150-OPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline,11/02/2019,KNDE,H,East,150m,OP.edge,H-E-150-OPE,8,4,0,0,4,0,0,2,0,1,0,0,0,0,1,0
baseline,11/02/2019,KNDE,H,East,150m,river,H-E-150-RV,7,3,0,0,0,0,0,3,0,1,0,0,0,0,3,0
baseline,13/02/2019,KNDE,H,East,350m,buffer.core,H-E-350-BC,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
baseline,13/02/2019,KNDE,H,East,350m,OP.core,H-E-350-OPC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baseline,13/02/2019,KNDE,H,East,350m,OP.edge,H-E-350-OPE,6,4,0,1,0,0,0,2,0,1,0,0,0,2,0,0
baseline,13/02/2019,KNDE,H,East,350m,river,H-E-350-RV,6,4,0,0,0,2,1,0,0,0,0,0,0,2,1,0
baseline,20/02/2019,KNDE,H,West,50m,OP.edge,H-W-50 OPE,5,3,0,0,0,0,0,2,0,2,0,0,0,0,1,0
baseline,20/02/2019,KNDE,H,West,50m,buffer.core,H-W-50-BC,7,4,0,0,2,0,0,1,0,0,0,0,0,1,3,0
baseline,20/02/2019,KNDE,H,West,50m,OP.core,H-W-50-OPC,3,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0
baseline,20/02/2019,KNDE,H,West,50m,river,H-W-50-RV,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
baseline,21/02/2019,KNDE,H,West,250m,buffer.core,H-W-250-BC,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
baseline,21/02/2019,KNDE,H,West,250m,OP.core,H-W-250-OPC,5,3,0,2,0,0,0,0,0,1,0,0,0,0,2,0
baseline,21/02/2019,KNDE,H,West,250m,OP.edge,H-W-250-OPE,7,4,0,0,1,0,1,4,0,1,0,0,0,0,0,0
baseline,21/02/2019,KNDE,H,West,250m,river,H-W-250-RV,3,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0
post1,18/02/2021,KNDE,H,East,350m,buffer.core,H-E-350-BC,6,3,0,0,1,0,0,1,0,0,0,0,0,4,0,0
post1,18/02/2021,KNDE,H,East,350m,OP.core,H-E-350-OPC,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0
post1,18/02/2021,KNDE,H,East,350m,OP.edge,H-E-350-OPE,7,4,0,0,2,0,0,1,0,0,0,0,0,1,3,0
post1,18/02/2021,KNDE,H,East,350m,river,H-E-350-RV,5,4,0,0,1,1,1,0,0,0,0,0,0,0,2,0
post1,23/02/2021,KNDE,H,East,150m,buffer.core,H-E-150-BC,11,3,0,0,3,0,0,0,0,1,0,0,0,0,7,0
post1,23/02/2021,KNDE,H,East,150m,OP.core,H-E-150-OPC,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
post1,23/02/2021,KNDE,H,East,150m,OP.edge,H-E-150-OPE,5,2,0,0,0,1,0,4,0,0,0,0,0,0,0,0
post1,23/02/2021,KNDE,H,East,150m,river,H-E-150-RV,4,3,0,0,0,1,0,2,0,0,0,0,0,0,1,0
post1,03/03/2021,KNDE,H,West,250m,buffer.core,H-W-250-BC,3,2,0,0,0,0,1,0,0,0,0,0,0,0,2,0
post1,03/03/2021,KNDE,H,West,50m,OP.edge,H-W-50 OPE,7,5,0,1,0,0,1,0,1,1,0,0,0,0,3,0
post1,03/03/2021,KNDE,H,West,50m,buffer.core,H-W-50-BC,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0
post1,03/03/2021,KNDE,H,West,50m,OP.core,H-W-50-OPC,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
post1,03/03/2021,KNDE,H,West,50m,river,H-W-50-RV,5,3,0,1,0,0,0,1,0,0,0,0,0,0,3,0
post1,05/03/2021,KNDE,H,West,250m,OP.core,H-W-250-OPC,4,3,0,0,1,0,0,0,0,0,0,0,0,1,2,0
post1,05/03/2021,KNDE,H,West,250m,OP.edge,H-W-250-OPE,8,5,0,0,1,0,3,0,0,1,0,0,0,2,1,0
post1,05/03/2021,KNDE,H,West,250m,river,H-W-250-RV,5,2,0,0,0,0,3,0,0,0,0,0,0,0,2,0
post2,03/07/2023,KNDE,H,East,150m,buffer.core,H-E-150-BC,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0
post2,03/07/2023,KNDE,H,East,150m,OP.core,H-E-150-OPC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
post2,03/07/2023,KNDE,H,East,150m,OP.edge,H-E-150-OPE,8,4,0,0,2,0,1,3,0,0,0,0,0,0,2,0
post2,03/07/2023,KNDE,H,East,150m,river,H-E-150-RV,3,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
post2,31/07/2023,KNDE,H,East,350m,buffer.core,H-E-350-BC,6,3,0,0,0,0,0,2,0,0,0,3,0,0,1,0
post2,31/07/2023,KNDE,H,East,350m,OP.core,H-E-350-OPC,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
post2,31/07/2023,KNDE,H,East,350m,OP.edge,H-E-350-OPE,14,4,0,0,0,0,5,1,0,3,0,0,0,0,5,0
post2,31/07/2023,KNDE,H,East,350m,river,H-E-350-RV,5,3,0,0,1,0,0,1,0,0,0,0,0,0,3,0
post2,04/08/2023,KNDE,H,West,250m,buffer.core,H-W-250-BC,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
post2,04/08/2023,KNDE,H,West,250m,OP.core,H-W-250-OPC,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
post2,04/08/2023,KNDE,H,West,250m,OP.edge,H-W-250-OPE,12,5,0,0,0,0,1,3,0,4,0,0,0,1,3,0
post2,04/08/2023,KNDE,H,West,250m,river,H-W-250-RV,8,4,0,0,0,1,0,2,0,2,0,0,0,0,3,0
post2,12/08/2023,KNDE,H,West,50m,OP.edge,H-W-50-BC,10,5,0,0,1,1,0,2,0,2,0,0,0,0,4,0
post2,12/08/2023,KNDE,H,West,50m,buffer.core,H-W-50-OPC,4,2,0,0,3,0,0,0,0,0,0,0,0,0,1,0
post2,12/08/2023,KNDE,H,West,50m,OP.core,H-W-50-OPE,5,3,0,0,0,1,0,2,0,2,0,0,0,0,0,0
post2,12/08/2023,KNDE,H,West,50m,river,H-W-50-RV,9,4,0,0,0,2,4,0,0,1,0,0,0,0,2,0
post3,04/10/2024,KNDE,H,East,350m,buffer.core,H-E-350-BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post3,04/10/2024,KNDE,H,East,350m,OP.core,H-E-350-OPC,3,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0
post3,04/10/2024,KNDE,H,East,350m,OP.edge,H-E-350-OPE,9,4,0,0,0,1,0,1,0,0,0,0,0,1,6,0
post3,04/10/2024,KNDE,H,East,350m,river,H-E-350-RV,10,2,0,0,0,2,0,8,0,0,0,0,0,0,0,0
post3,09/10/2024,KNDE,H,West,250m,buffer.core,H-W-250-BC,4,3,0,0,0,1,0,1,0,0,0,0,0,0,2,0
post3,09/10/2024,KNDE,H,West,250m,OP.core,H-W-250-OPC,4,3,0,0,1,0,0,1,0,0,0,0,0,2,0,0
post3,09/10/2024,KNDE,H,West,250m,OP.edge,H-W-250-OPE,14,5,0,0,1,1,8,1,0,0,0,0,0,0,3,0
post3,09/10/2024,KNDE,H,West,250m,river,H-W-250-RV,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0
post3,16/10/2024,KNDE,H,East,150m,buffer.core,H-E-150-BC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
post3,16/10/2024,KNDE,H,East,150m,OP.core,H-E-150-OPC,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
post3,16/10/2024,KNDE,H,East,150m,OP.edge,H-E-150-OPE,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
post3,16/10/2024,KNDE,H,East,150m,river,H-E-150-RV,5,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0
post3,21/10/2024,KNDE,H,West,50m,buffer.core,H-W-50-BC,6,3,0,0,1,0,0,2,0,3,0,0,0,0,0,0
post3,21/10/2024,KNDE,H,West,50m,OP.core,H-W-50-OPC,10,4,0,0,2,0,0,4,0,3,0,0,0,0,1,0
post3,21/10/2024,KNDE,H,West,50m,OP.edge,H-W-50-OPE,7,3,0,0,0,2,0,4,0,0,0,0,0,1,0,0
post3,21/10/2024,KNDE,H,West,50m,river,H-W-50-RV,9,3,0,0,0,7,0,1,0,0,0,0,0,0,1,0
baseline,12/02/2019,KNDE,I,West,250m,buffer.core,I-W-250-BC,29,5,0,0,7,0,0,9,0,6,0,0,0,1,6,0
baseline,12/02/2019,KNDE,I,West,250m,OP.core,I-W-250-OPC,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0
baseline,12/02/2019,KNDE,I,West,250m,OP.edge,I-W-250-OPE,11,3,0,0,0,1,0,8,0,2,0,0,0,0,0,0
baseline,12/02/2019,KNDE,I,West,250m,river,I-W-250-RV,7,2,0,0,4,0,3,0,0,0,0,0,0,0,0,0
baseline,14/02/2019,KNDE,I,East,350m,buffer.core,I-E-350-BC,7,4,0,0,0,2,0,3,0,1,0,0,0,0,1,0
baseline,14/02/2019,KNDE,I,East,350m,OP.core,I-E-350-OPC,4,4,0,0,0,1,1,1,0,1,0,0,0,0,0,0
